,param,mean,sub
0,a,3.093076,GRP
1,a_std,0.740983,GRP
2,a_subj.8,3.167131,8
3,a_subj.10,3.4933589999999994,10
4,a_subj.11,3.145382,11
5,a_subj.13,3.9483919999999997,13
6,a_subj.15,2.507156,15
7,a_subj.16,2.466928,16
8,a_subj.17,3.2594369999999997,17
9,a_subj.18,3.3841040000000002,18
10,a_subj.19,3.296808,19
11,a_subj.20,3.7374339999999995,20
12,a_subj.21,3.210998,21
13,a_subj.22,3.765762,22
14,a_subj.23,2.902556,23
15,a_subj.24,3.036448,24
16,a_subj.25,1.165411,25
17,a_subj.26,3.053522,26
18,a_subj.27,3.3703830000000004,27
19,a_subj.28,1.641172,28
20,a_subj.29,3.804535,29
21,a_subj.30,3.55215,30
22,a_subj.31,3.118361,31
23,v(a80H.face),0.593799,GRP
24,v(a80H.house),-1.231472,GRP
25,v(b50N.face),0.779953,GRP
26,v(b50N.house),-1.122634,GRP
27,v(c80F.face),0.8328700000000001,GRP
28,v(c80F.house),-0.822023,GRP
29,v_std,0.457809,GRP
30,v_subj(a80H.face).8,1.595153,8
31,v_subj(a80H.face).10,0.575988,10
32,v_subj(a80H.face).11,0.456176,11
33,v_subj(a80H.face).13,0.9996649999999999,13
34,v_subj(a80H.face).15,0.693889,15
35,v_subj(a80H.face).16,0.951976,16
36,v_subj(a80H.face).17,-0.138282,17
37,v_subj(a80H.face).18,0.263336,18
38,v_subj(a80H.face).19,0.681868,19
39,v_subj(a80H.face).20,0.901265,20
40,v_subj(a80H.face).21,0.46482799999999996,21
41,v_subj(a80H.face).22,0.631337,22
42,v_subj(a80H.face).23,0.336063,23
43,v_subj(a80H.face).24,0.40816199999999997,24
44,v_subj(a80H.face).25,-0.795747,25
45,v_subj(a80H.face).26,0.7364930000000001,26
46,v_subj(a80H.face).27,0.168099,27
47,v_subj(a80H.face).28,1.140225,28
48,v_subj(a80H.face).29,0.735633,29
49,v_subj(a80H.face).30,0.9370040000000001,30
50,v_subj(a80H.face).31,0.664003,31
51,v_subj(a80H.house).8,-1.6166479999999999,8
52,v_subj(a80H.house).10,-1.030457,10
53,v_subj(a80H.house).11,-0.298362,11
54,v_subj(a80H.house).13,-1.565358,13
55,v_subj(a80H.house).15,-1.479458,15
56,v_subj(a80H.house).16,-1.489004,16
57,v_subj(a80H.house).17,-1.088457,17
58,v_subj(a80H.house).18,-1.2982049999999998,18
59,v_subj(a80H.house).19,-1.1027129999999998,19
60,v_subj(a80H.house).20,-0.888222,20
61,v_subj(a80H.house).21,-1.250853,21
62,v_subj(a80H.house).22,-0.797216,22
63,v_subj(a80H.house).23,-1.210076,23
64,v_subj(a80H.house).24,-1.304125,24
65,v_subj(a80H.house).25,-2.018834,25
66,v_subj(a80H.house).26,-1.183992,26
67,v_subj(a80H.house).27,-0.8646159999999999,27
68,v_subj(a80H.house).28,-1.992157,28
69,v_subj(a80H.house).29,-0.918133,29
70,v_subj(a80H.house).30,-1.33822,30
71,v_subj(a80H.house).31,-1.178618,31
72,v_subj(b50N.face).8,1.340762,8
73,v_subj(b50N.face).10,0.601537,10
74,v_subj(b50N.face).11,0.17183900000000002,11
75,v_subj(b50N.face).13,1.533307,13
