param,mean,parameter,cue,stim,noise
a,3.093076,a,constant,constant,constant
a_std,0.740983,a_std,constant,constant,constant
v(a80H.face),0.593799,v,a80H,face,constant
v(a80H.house),-1.231472,v,a80H,house,constant
v(b50N.face),0.779953,v,b50N,face,constant
v(b50N.house),-1.122634,v,b50N,house,constant
v(c80F.face),0.8328700000000001,v,c80F,face,constant
v(c80F.house),-0.822023,v,c80F,house,constant
v_std,0.457809,v_std,constant,constant,constant
t,1.167783,t,constant,constant,constant
t_std,0.275794,t_std,constant,constant,constant
sv,0.24887600000000001,sv,constant,constant,constant
sz,0.029718,sz,constant,constant,constant
st,0.688844,st,constant,constant,constant
z(a80H),0.5968760000000001,z(a80H),a80H,constant,constant
z(b50N),0.633367,z(b50N),b50N,constant,constant
z(c80F),0.660328,z(c80F),c80F,constant,constant
z_std,0.29718,z_std,constant,constant,constant
