sub,param,mean,parameter,cue,stim,noise
8,a_subj.8,3.167131,a,constant,constant,constant
10,a_subj.10,3.4933589999999994,a,constant,constant,constant
11,a_subj.11,3.145382,a,constant,constant,constant
13,a_subj.13,3.9483919999999997,a,constant,constant,constant
15,a_subj.15,2.507156,a,constant,constant,constant
16,a_subj.16,2.466928,a,constant,constant,constant
17,a_subj.17,3.2594369999999997,a,constant,constant,constant
18,a_subj.18,3.3841040000000002,a,constant,constant,constant
19,a_subj.19,3.296808,a,constant,constant,constant
20,a_subj.20,3.7374339999999995,a,constant,constant,constant
21,a_subj.21,3.210998,a,constant,constant,constant
22,a_subj.22,3.765762,a,constant,constant,constant
23,a_subj.23,2.902556,a,constant,constant,constant
24,a_subj.24,3.036448,a,constant,constant,constant
25,a_subj.25,1.165411,a,constant,constant,constant
26,a_subj.26,3.053522,a,constant,constant,constant
27,a_subj.27,3.3703830000000004,a,constant,constant,constant
28,a_subj.28,1.641172,a,constant,constant,constant
29,a_subj.29,3.804535,a,constant,constant,constant
30,a_subj.30,3.55215,a,constant,constant,constant
31,a_subj.31,3.118361,a,constant,constant,constant
8,v_subj(a80H.face).8,1.595153,v,a80H,face,constant
10,v_subj(a80H.face).10,0.575988,v,a80H,face,constant
11,v_subj(a80H.face).11,0.456176,v,a80H,face,constant
13,v_subj(a80H.face).13,0.9996649999999999,v,a80H,face,constant
15,v_subj(a80H.face).15,0.693889,v,a80H,face,constant
16,v_subj(a80H.face).16,0.951976,v,a80H,face,constant
17,v_subj(a80H.face).17,-0.138282,v,a80H,face,constant
18,v_subj(a80H.face).18,0.263336,v,a80H,face,constant
19,v_subj(a80H.face).19,0.681868,v,a80H,face,constant
20,v_subj(a80H.face).20,0.901265,v,a80H,face,constant
21,v_subj(a80H.face).21,0.46482799999999996,v,a80H,face,constant
22,v_subj(a80H.face).22,0.631337,v,a80H,face,constant
23,v_subj(a80H.face).23,0.336063,v,a80H,face,constant
24,v_subj(a80H.face).24,0.40816199999999997,v,a80H,face,constant
25,v_subj(a80H.face).25,-0.795747,v,a80H,face,constant
26,v_subj(a80H.face).26,0.7364930000000001,v,a80H,face,constant
27,v_subj(a80H.face).27,0.168099,v,a80H,face,constant
28,v_subj(a80H.face).28,1.140225,v,a80H,face,constant
29,v_subj(a80H.face).29,0.735633,v,a80H,face,constant
30,v_subj(a80H.face).30,0.9370040000000001,v,a80H,face,constant
31,v_subj(a80H.face).31,0.664003,v,a80H,face,constant
8,v_subj(a80H.house).8,-1.6166479999999999,v,a80H,house,constant
10,v_subj(a80H.house).10,-1.030457,v,a80H,house,constant
11,v_subj(a80H.house).11,-0.298362,v,a80H,house,constant
13,v_subj(a80H.house).13,-1.565358,v,a80H,house,constant
15,v_subj(a80H.house).15,-1.479458,v,a80H,house,constant
16,v_subj(a80H.house).16,-1.489004,v,a80H,house,constant
17,v_subj(a80H.house).17,-1.088457,v,a80H,house,constant
18,v_subj(a80H.house).18,-1.2982049999999998,v,a80H,house,constant
19,v_subj(a80H.house).19,-1.1027129999999998,v,a80H,house,constant
20,v_subj(a80H.house).20,-0.888222,v,a80H,house,constant
21,v_subj(a80H.house).21,-1.250853,v,a80H,house,constant
22,v_subj(a80H.house).22,-0.797216,v,a80H,house,constant
23,v_subj(a80H.house).23,-1.210076,v,a80H,house,constant
24,v_subj(a80H.house).24,-1.304125,v,a80H,house,constant
25,v_subj(a80H.house).25,-2.018834,v,a80H,house,constant
26,v_subj(a80H.house).26,-1.183992,v,a80H,house,constant
